4.673434467986226082e-02 6.501494446632433144e-02 0.000000000000000000e+00
-6.904086889699101448e-02 7.054835161461374404e-02 -2.294168759608190278e-01
-6.415425706654787064e-02 1.077426540557648027e-01 -3.646469865661793319e-01
-2.162230014801025391e-01 4.732459002709049622e-02 -3.040466691480132044e-01
3.071679621934890747e-01 3.817548575232969366e-02 -3.126679956112713987e-01
2.494073696434497833e-01 6.891805141730777962e-02 -3.989302005779837290e-01
1.971827577799558640e-01 7.571912969323670028e-02 -2.391521064646588701e-02
3.234122581779956818e-01 6.003069823589789883e-02 2.361821697293061406e-01
1.870874390006065369e-01 3.016888253174562079e-02 1.559473354786868049e-01
1.877017840743064880e-01 4.410569305934847889e-02 1.731584190526422040e-01
2.969690300524234772e-01 4.172296897752507394e-02 1.903241702717549388e-01
2.886489965021610260e-01 7.486614198577040691e-02 1.459814601760000830e-01
2.171147773042321205e-01 1.439589961502616977e-01 1.636524362162050938e-01
1.281547509133815765e-01 5.062233403755230648e-02 1.546500222304862671e-01
2.721776030957698822e-01 9.414730454306884100e-02 1.326921282170856475e-01
1.965400285553187132e-02 1.026048172600443342e-01 1.442293803594426882e-01
1.869173673912882805e-02 5.206630530468135676e-02 -1.269428881772843298e-01
-1.297849463298916817e-02 5.011486575773917151e-02 -1.198667390566099250e-01
1.464957520365715027e-01 2.840470573150869274e-02 -1.188953260565072528e-01
9.820552484598010778e-02 7.358241160069534104e-02 -1.063306041669551949e-01
3.454632929060608149e-02 7.338711270342809789e-02 -1.008815091564499167e-01
4.998399084433913231e-02 6.027728721002519746e-02 9.636064952765496794e-02
3.542393147945404053e-01 1.150106079899527317e-01 8.540352962258392078e-02
1.161530213430523872e-01 3.785901129775623430e-02 8.182309625793277030e-02
4.228865168988704681e-02 8.150982364800557489e-02 6.672565870283718448e-02
1.280561313033103943e-01 3.994396293461190128e-02 5.983979797573195369e-02
6.767477747052907944e-02 3.528944894620024419e-02 5.308554644647638099e-02
6.802858458831906319e-02 4.956738246165368761e-02 -4.628281500863248160e-02
5.461580678820610046e-02 2.090851426722181803e-03 -3.834972060527169768e-02
5.363776313606649637e-02 5.520743021428307223e-02 -3.285626901054049948e-02
3.397808782756328583e-02 5.648252091006898679e-02 -2.440368908800386732e-02
2.363542886450886726e-02 1.051402467940427687e-01 -1.871148166382859482e-02
1.964912423864006996e-02 2.932462926093444555e-02 -1.083893986962950959e-02
7.065505301579833031e-02 4.675640141128342697e-02 -9.976086130172909239e-03
1.974951149895787239e-02 4.785749083404423898e-02 -4.075303773970118115e-02
-5.894337128847837448e-02 2.637491702264123383e-02 -7.976806905889653743e-02
-7.227474357932806015e-03 8.050582628440329513e-02 -1.127564011784594061e-01
2.792382519692182541e-02 8.840157612184756930e-02 -1.552465943459746256e-01
4.346435796469449997e-02 8.797092038819091797e-02 -2.067148426880351109e-01
-1.917889751493930817e-01 3.752397431910056702e-02 -2.575787551192136315e-01
-7.415619539096951485e-02 4.101587594279401672e-02 -3.153051689339408381e-01
-8.363501122221350670e-02 5.638033282857108502e-02 -3.704170997284634281e-01
-1.572889080271124840e-01 8.012554217349143748e-02 -4.239298595666399772e-01
-7.564614014700055122e-02 1.093097622205471964e-01 -4.825587570731161846e-01
-2.602080516517162323e-01 5.241498122225170253e-02 -5.116626550872106494e-01
-2.438670489937067032e-01 9.800682195591460533e-02 -4.549669746007550253e-01
-2.543808557093143463e-01 3.534423424156155069e-02 -4.001867251966572669e-01
-1.856891028583049774e-01 4.222099365406749294e-02 -3.441972900902203758e-01
-2.454593218863010406e-01 3.114084382052175956e-02 -2.922138760800673807e-01
-1.529074739664793015e-01 6.389324759112768870e-02 -2.361301586043005607e-01
-7.229430880397558212e-02 4.474876386600985106e-02 -1.857713671406510947e-01
-4.676790256053209305e-02 7.877422375096970741e-02 -1.396902270245570232e-01
1.773717219475656748e-02 5.436277283763014251e-02 -1.020668398734102533e-01
-5.609623622149229050e-02 5.079936540084522417e-02 -9.766786059261946262e-02
7.360771298408508301e-02 1.080095508520866332e-01 -1.166450741986695266e-01
-4.275112971663475037e-02 4.928910460275359728e-02 -1.562604783314706647e-01
-1.774496976286172867e-01 7.796622812615371101e-02 -2.059681883720588524e-01
-1.285532126203179359e-01 6.288811489663054255e-02 -2.597663000329288874e-01
-2.002515755593776703e-01 5.594175372557123188e-02 -3.172394472720106440e-01
-2.498541325330734253e-01 5.645032379604053574e-02 -3.729401621177127479e-01
-1.734127234667539597e-01 5.241841683287269682e-02 -4.280651977054193980e-01
-3.171344548463821411e-01 1.037645751245299813e-01 -4.863004715484742779e-01
-2.967032063752412796e-01 1.555161637870132729e-01 -5.088461424719732396e-01
-2.606261670589447021e-01 8.048355160751509418e-02 -4.521069456140333065e-01
-1.487650349736213684e-01 4.010707717521351523e-02 -3.979901299334467901e-01
-2.323987111449241638e-01 5.529053452634083432e-02 -3.414701824892402149e-01
-2.827681191265583038e-01 7.202185306014223520e-02 -2.896801337368871687e-01
-1.909006331115961075e-01 7.432277445892958301e-02 -2.336927827620386422e-01
-1.275837239809334278e-01 7.187288951576416285e-02 -1.832250841765410421e-01
-1.867346005747094750e-01 1.425805124774793819e-01 -1.377415816033186746e-01
-1.660100221633911133e-01 5.082481595620765014e-02 -1.010248232240631705e-01
-9.456210210919380188e-02 4.682354935861739176e-02 -9.856583220088659114e-02
5.020613037049770355e-02 1.083391586233788118e-01 -1.189606599114312740e-01
-4.569318355061113834e-02 3.674704808311435311e-02 -1.604944764971185378e-01
-1.640835911966860294e-01 9.280935574761758899e-02 -2.103360486098561632e-01
-8.998133428394794464e-02 4.351942900239017670e-02 -2.627780386979958749e-01
-1.973583772778511047e-01 7.564183562116880144e-02 -3.196370473467973761e-01
-2.728812880814075470e-01 6.742852157511776412e-02 -3.756812920957244284e-01
-3.179453499615192413e-01 1.256111930040989810e-01 -4.304247310605606169e-01
-3.296618536114692688e-01 2.716664471937812325e-02 -4.887768664366975435e-01
-3.472515568137168884e-01 4.114184871996118265e-02 -5.045304771253243947e-01
-3.460791483521461487e-01 9.270295686092301646e-02 -4.476100897103502674e-01
-1.842545708641409874e-01 1.007690356093367545e-01 -3.936276954566662045e-01
-3.315229415893554688e-01 6.942657985702996304e-02 -3.373706156805122425e-01
-2.723877616226673126e-01 8.523328792700547718e-02 -2.856357321443579456e-01
-1.088877618312835693e-01 3.733871363034620139e-02 -2.298557446701896545e-01
-1.065787160769104958e-01 9.252967072413149918e-02 -1.797645834104129037e-01
7.020861376076936722e-03 4.070967212499847915e-02 -1.349001969827091085e-01
8.491953369230031967e-03 3.108856189403709155e-02 -1.015013986083804914e-01
-1.278074737638235092e-02 7.014158356958542784e-02 -1.038571479258625502e-01
2.523358445614576340e-03 8.762530588702741041e-02 -1.267693512228116881e-01
-1.284574642777442932e-01 7.707855467093750745e-02 -1.660482923189399163e-01
-1.746797794476151466e-02 5.938962815246152244e-02 -2.156190780892426606e-01
-3.896154835820198059e-02 1.230035565826781280e-01 -2.668583040019452124e-01
-1.500076950760558248e-01 1.603982175624346085e-01 -3.233000857060772670e-01
-2.196443267166614532e-01 7.519953616741437141e-02 -3.786976881985520405e-01
-2.954073380678892136e-01 1.529957699566928953e-01 -4.345092458794624357e-01
-3.483132496476173401e-01 4.650637414560046534e-02 -4.931355988820741443e-01
-2.858706228435039520e-01 6.393161493153486086e-02 -5.020066207389163315e-01
-2.008766829967498779e-01 9.737793747225365060e-02 -4.454127295015831711e-01
-1.011208109557628632e-01 1.018719932596066774e-01 -3.914005534981800372e-01
-1.856413967907428741e-01 1.279549585307790116e-01 -3.349404485152620015e-01
-2.721279710531234741e-01 4.614826810479331215e-02 -2.832809407105732480e-01
-5.308598279953002930e-03 1.162444359440309716e-01 -2.275228751701302010e-01
-1.111385319381952286e-01 1.055798985469101336e-01 -1.776818028465305399e-01
-1.694984645582735538e-01 1.143729405413255878e-01 -1.332093475883100175e-01
-2.185710221529006958e-01 3.414028178935892693e-02 -9.884775961130146116e-02
-7.954891072586178780e-02 4.552487132646920731e-02 -1.005530315109731399e-01
-3.208002960309386253e-02 1.029004962124812628e-01 -1.422557477256813085e-01
-2.859955020248889923e-01 4.008826197384637163e-02 -4.973433339445241796e-01
-8.693846128880977631e-02 1.059044097901098158e-01 -2.084280797591522849e-01
-8.396505145356059074e-02 6.005842501059447530e-02 -1.918859104597122611e-01
-2.797133028507232666e-01 2.565818365126842221e-02 -4.073141892356425542e-01
-4.423247557133436203e-02 6.252282936888040044e-02 -1.816105817844853865e-01
-3.518020883202552795e-01 1.188144397978155714e-01 -4.849782475609630827e-01
-1.762783071026206017e-01 1.220140705979881335e-01 -3.203173564923976202e-01
-2.119961809366941452e-01 6.056530468705822318e-02 -3.530569367516586676e-01
-1.276763365603983402e-01 9.461464876116988665e-02 -4.571568891008128688e-01
1.906926874071359634e-01 5.803009408176613287e-02 4.389537808202850777e-02
-1.151580344885587692e-01 1.247391644966885753e-02 4.729437341327880073e-01
-1.879671253263950348e-01 2.711821337716538438e-02 2.862011625492337785e-01
9.861744288355112076e-02 6.214229295584249718e-02 1.687450338013085360e-01
3.285236656665802002e-03 7.090839165155508883e-02 1.999419218222274475e-01
-2.472482845187187195e-01 6.890235058299189197e-02 3.593116272896515473e-01
-1.500780428759753704e-01 9.398334010146824902e-02 3.894570860258670386e-01
1.424589715898036957e-01 5.527837624518194132e-02 2.811068024702618323e-02
6.254502832889556885e-01 1.056608616163765557e-01 4.815674530260133923e-01
4.477583467960357666e-01 4.853357103282378293e-02 1.808863585042548294e-01
2.689913474023342133e-01 9.453070111170085166e-02 9.619185557190886027e-02
2.195984274148941040e-01 4.214323840497982004e-02 2.285785980868218492e-01
2.873292118310928345e-01 9.774450841178225491e-02 3.216279613933138992e-01
4.841863885521888733e-01 7.373676271196606680e-02 4.211700503403117968e-01
6.898501813411712646e-01 5.569555087933510118e-02 5.339523207950604977e-01
4.662738963961601257e-01 6.113933547920492872e-02 4.596556381032529948e-01
2.654720582067966461e-01 5.462494942206273796e-02 3.408215012604768890e-01
2.164650931954383850e-01 4.288503257131340285e-02 2.206821041390851224e-01
3.469608444720506668e-02 5.565390451326190924e-02 -1.198302115478513813e-01
-2.002612256910651922e-02 6.013530823117231583e-02 -4.255765866828661176e-02
-1.820616628974676132e-01 4.650910228683768216e-02 -8.967820569257528573e-02
-1.942827273160219193e-02 6.252809134955690518e-02 -1.864595762719951644e-01
2.805315814912319183e-01 4.770582375832059518e-02 2.871861375480904144e-01
4.586064070463180542e-01 7.601846928625494160e-02 3.883551858449270644e-01
5.172886699438095093e-01 8.669285982436866766e-02 4.896904758000985569e-01
3.794496282935142517e-01 6.126967370324098300e-02 4.090276072380230610e-01
-3.943226905539631844e-02 2.441102958789315158e-02 3.076220653331602772e-01
-1.055637132376432419e-01 2.968424765720467651e-02 -2.062740073817603548e-01
-2.299535414204001427e-02 3.349410066285108539e-02 -1.049419179166401761e-01
-7.710371038410812616e-02 7.155170599522676922e-02 -4.412207618272863917e-03
