3.297599483969046712e-03 0.000000000000000000e+00
5.870375805985296458e-03 -1.813839211472156876e-03
-1.642474815668811677e-03 -1.513457532458684085e-03
-8.597467960319813980e-05 -5.808185187130554539e-04
4.457947824754016465e-04 -2.079530741543322847e-04
6.830320624555990443e-04 -1.423954488535272844e-04
5.189526254757510088e-03 7.755971578076170658e-04
-3.896448819558709798e-03 4.330917311907712106e-04
8.310836795584467711e-04 1.379915514472251914e-04
8.382918020279025474e-04 1.065881815467406568e-04
-4.772552421361750397e-04 1.092294116742387189e-04
3.718437981200709876e-03 -7.683360180088529307e-06
6.519004667790448924e-03 -2.608206364973497671e-05
-1.250746518930352311e-03 -3.509198844531269401e-05
-1.412879372731959795e-03 -5.801710478259280990e-05
4.755324122781580919e-03 -3.753365633718530603e-05
-1.149184853558695872e-03 -2.208636047029699512e-05
3.006080466111187791e-03 -2.712443613761550071e-05
-1.037950698939831299e-03 -2.714732808550834875e-05
-1.837221030487494683e-03 9.804413509595377718e-05
-1.862809174431636662e-03 1.108273083283428662e-04
7.769617492263000691e-03 2.051032109169348416e-04
1.395398233143756639e-03 -1.674909173887684233e-04
-3.201861979927245975e-03 -4.042067494460788711e-04
4.394346648525610313e-03 -6.067543175176659531e-04
-5.219495431982924035e-04 -5.984985181384239183e-04
3.410528104089836053e-03 -5.678721656021680194e-04
6.111716571177837776e-04 -3.361771507655042512e-04
-7.161876378041098605e-03 -1.417663911897904243e-04
-1.094154629900422797e-03 -5.681155241621382856e-05
-6.322820932775819087e-03 3.932856293564768180e-05
-2.481420663987986795e-03 1.083273927182659691e-05
-9.446084794331505077e-04 -2.751678042534067004e-05
4.273001373055438333e-03 -4.352318096801255365e-03
2.188469896333272106e-03 -1.198973243885006514e-02
4.918336434168507285e-03 -1.284026203684618395e-03
1.481934941491041234e-02 1.620357829255780757e-02
1.676427315641003390e-02 2.098751832506007275e-02
1.604110382334584736e-02 2.085921051747829935e-02
1.559714264613635409e-02 2.056472033524503473e-02
1.493755953502687479e-02 1.818149391054069142e-02
2.237734174673921064e-02 2.335151730020212923e-02
1.914781094699297484e-02 2.281017219858672354e-02
1.662896558760827009e-02 2.273590552154169941e-02
1.968090089582117883e-02 1.897516005265043049e-02
1.432560838639252050e-02 1.375385928085437470e-02
2.194030244769499746e-02 1.784570574280985866e-02
1.430747031531350195e-02 1.592935873068412889e-02
1.294304303318655029e-02 1.591344663918059510e-02
1.457545155018853851e-02 2.276486799915478088e-02
1.524455500706498046e-02 1.833941219592549743e-02
1.893279238552746102e-02 1.974764993445177197e-02
1.432277585189815385e-02 2.154673531093376226e-02
1.856797783969602392e-02 1.825241741719452193e-02
1.781535882787101815e-02 2.299835061482147225e-02
1.929805718503440140e-02 2.316762958884766369e-02
2.101985779890937212e-02 2.110964641129298505e-02
1.405924725201704653e-02 2.106091208092841782e-02
1.562408358293768465e-02 1.688825036047303385e-02
1.690607851968054312e-02 2.238664898064302022e-02
1.486954115893134899e-02 2.225277787753210390e-02
2.450980492159629889e-02 2.053420540536388117e-02
1.956946197330782997e-02 1.832892642676986483e-02
1.416680732851644670e-02 1.391877869072066787e-02
1.536655522283191834e-02 1.831536873159800294e-02
1.596077239087003580e-02 1.641238654702359412e-02
1.594139880419984806e-02 1.628669994144482658e-02
1.942765027072564446e-02 2.308465259912662049e-02
1.530760124970198532e-02 1.856386743074311951e-02
2.154743807315814830e-02 1.991756806178379691e-02
1.801213967728167165e-02 2.167904836929812618e-02
1.666447499814632111e-02 1.832572649355856953e-02
1.669705906016519595e-02 2.304915810257890385e-02
1.986826624192721338e-02 2.199350340886319088e-02
1.710678990487727799e-02 2.077500302273360688e-02
2.118189320611225251e-02 2.362016340273953921e-02
1.821835325992098020e-02 1.868979742500620489e-02
2.061085743795820421e-02 2.176715226478354026e-02
2.224383844356854142e-02 2.383508642216725093e-02
1.916850571123519462e-02 2.089923587006659034e-02
1.583900900528548497e-02 1.787055305950246628e-02
1.603578546594189996e-02 1.335393273603235897e-02
2.131936784422877249e-02 1.778323352105726229e-02
1.734677934013071146e-02 1.599759079455020938e-02
1.763985092043680522e-02 1.601286020913628150e-02
1.702743553913196525e-02 2.287351548660154776e-02
1.186082613990585392e-02 1.843381140221600489e-02
1.881694894177034574e-02 1.983344260028419015e-02
